id,leto
0,1994
1,1995
2,1993
3,1987
4,1994
5,2000
6,1994
7,1993
8,1990
9,1998
10,2005
11,1994
12,1996
13,2003
14,1998
15,1994
16,1990
17,1986
18,1988
19,1991
20,1989
21,1991
22,1998
23,1995
24,1990
25,1989
26,1992
27,1986
28,1998
29,1996
30,1992
31,1997
32,1991
33,1993
34,1987
35,1997
36,1991
37,1975
38,1996
39,1999
40,1988
41,1993
42,1991
43,1987
44,1995
45,1996
46,1984
47,1981
48,1993
49,1988
50,1990
51,1996
52,1999
53,1991
54,1987
55,1990
56,1992
57,1991
58,1994
59,2000
60,1995
61,1997
62,1995
63,1990
64,1992
65,1990
66,1999
67,1985
68,1992
69,2001
70,1989
71,2000
72,1998
73,1998
74,1984
75,1983
76,1993
77,1986
78,1991
79,1981
80,1999
81,1999
82,1991
83,1988
84,1981
85,1984
86,1997
87,1995
88,1992
89,1986
90,1980
91,1978
92,1996
93,1992
94,1993
95,1991
96,1995
97,1992
98,1987
99,1999
100,1995
101,1988
102,1997
103,1990
104,1970
105,1992
106,1969
107,1999
108,1996
109,1997
110,1990
111,1991
112,1981
113,1989
114,1989
115,1975
116,1998
117,1982
118,1995
119,1976
120,1996
121,1981
122,1985
123,1983
124,1998
125,1988
126,1985
127,1984
128,1988
129,1988
130,1997
131,1981
132,1983
133,1992
134,1979
135,1991
136,1980
137,1997
138,1998
139,1986
140,1997
141,1991
142,2000
143,1983
144,1983
145,1993
146,1984
147,1984
148,1981
149,1990
150,1983
151,1987
152,1992
153,1989
154,1992
155,1990
156,1987
157,1997
158,1993
159,1982
160,1989
161,1984
162,1997
163,1983
164,1998
165,1997
166,1989
167,1982
168,1993
169,1988
170,1991
171,1984
172,1980
173,1981
174,1992
175,1989
176,1994
177,1979
178,1988
179,1987
180,1991
181,1995
182,1982
183,1995
184,1981
185,1989
186,1983
187,1999
188,1988
189,1999
190,1997
191,1990
192,1985
193,1988
194,1999
195,1983
196,1988
197,1980
198,1993
199,1990
200,1976
201,1992
202,1995
203,1993
204,1993
205,1975
206,1997
207,1989
208,1999
209,1992
210,1987
211,1993
212,1999
213,1989
214,1994
215,1995
216,1993
217,1984
218,1985
219,1991
220,1997
221,1981
222,1989
223,1998
224,1994
225,1993
226,1999
227,1994
228,1982
229,1999
230,1995
231,2000
232,1998
233,1986
234,1990
235,1993
236,1995
237,1986
238,2000
239,1997
240,1998
241,1991
242,1995
243,1992
244,1998
245,1982
246,1997
247,1983
248,1982
249,1990
250,1997
251,1990
252,1993
253,1982
254,1985
255,1988
256,1977
257,1984
258,1977
259,1990
