ime,država,zvrst,leto,status
Hatebreed,United States,Metalcore,1994,1
Slipknot,United States,Nu,1995,1
Korn,United States,"Nu,Groove,Industrial",1993,1
Biohazard,United States,"Crossover,Thrash",1987,1
Limp Bizkit,United States,Nu,1994,1
Between the Buried and Me,United States,Progressive,2000,1
Rammstein,Germany,Industrial,1994,1
Bullet for My Valentine,United Kingdom,Metalcore,1993,1
Converge,United States,Mathcore,1990,1
Skindred,United Kingdom,"Reggae,Nu",1998,1
Five Finger Death Punch,United States,Groove,2005,1
System of a Down,Armenia,"Nu,Progressive,Art Rock",1994,1
Drowning Pool,United States,"Alternative,Post-Grunge",1996,1
TesseracT,United States,"Progressive,Djent",2003,1
Jeff Killed John,United Kingdom,Nu,1998,5
Brawl,United States,Nu,1994,5
Amorphis,Finland,"Melodic,Heavy,Death,Progressive,Rock,Doom",1990,1
Blind Guardian,Germany,"Speed,Power",1986,1
Iced Earth,United States,"Thrash,Power",1988,1
Katatonia,Sweden,"Death,Depressive,Doom,Rock",1991,1
Entombed,Sweden,Death,1989,1
Dark Tranquillity,Sweden,"Melodic,Death",1991,1
Darkane,Sweden,"Melodic,Thrash,Death",1998,1
Arch Enemy,Sweden,"Melodic,Death",1995,1
In Flames,Sweden,"Melodic,Alternative,Death,Groove,Rock",1990,1
Bal-Sagoth,United Kingdom,"Epic,Symphonic,Black",1989,2
Spiritual Beggars,Sweden,"Stoner,Hard,Rock",1992,1
Carcass,United Kingdom,"Goregrind,Melodic,Grindcore,Death",1986,1
Dan SwanÃ¶,Sweden,"Death,Progressive",1998,1
Maudlin of the Well,United States,Progressive,1996,4
Cryptopsy,Canada,"Technical,Death,Deathcore,Brutal",1992,1
Armageddon,Sweden,"Melodic,Death,Power",1997,1
Acid Bath,United States,"Sludge,Doom",1991,3
Quo Vadis,Canada,"Technical,Melodic,Death",1993,4
Meshuggah,Sweden,"Technical,Thrash,Groove,Djent",1987,1
Children of Bodom,Finland,"Melodic,Death,Power",1997,1
Cradle of Filth,United Kingdom,"Symphonic,Gothic,Death,Black,Extreme",1991,1
Iron Maiden,United Kingdom,"Heavy,NWOBHM",1975,1
Soilwork,Sweden,"Melodic,Metalcore,Death,Groove",1996,1
Andromeda,Sweden,Progressive,1999,1
Ancient Rites,Belgium,"Viking,Black,Folk",1988,1
Summoning,Austria,"Black,Epic,Atmospheric",1993,1
Emperor,Norway,Black,1991,1
Samael,Switzerland,"Electronic,Industrial,Black",1987,1
Rhapsody of Fire,Italy,"Symphonic,Power",1995,1
Excelsis,Switzerland,"Power,Folk",1996,1
Candlemass,Sweden,"Epic,Doom",1984,1
Saint Vitus,United States,Doom,1981,1
Dark Avenger,Brazil,Power,1993,1
Dream Theater,United States,Progressive,1988,1
Opeth,Sweden,"Death,Progressive,Rock",1990,1
Nightwish,Finland,"Symphonic,Power",1996,1
Defender,Sweden,"Heavy,Power",1999,3
Absu,United States,"Thrash,Death,Black",1991,1
Alchemist,Australia,"Death,Progressive",1987,3
At the Gates,Sweden,"Melodic,Death",1990,1
Nevermore,United States,"Thrash,Groove,Progressive,Power",1992,2
Dying Fetus,United States,"Grindcore,Death,Brutal",1991,1
Strapping Young Lad,Canada,"Thrash,Death,Industrial",1994,3
Hammers of Misfortune,United States,Progressive,2000,1
Metalucifer,Japan,"Heavy,Speed",1995,1
Destiny's End,United States,"Heavy,Power",1997,3
Solefald,Norway,Black,1995,1
Sigh,Japan,Black,1990,1
Borislav Mitic,Serbia,"Neoclassical,Shred,Power",1992,1
Skyclad,United Kingdom,Folk,1990,1
Lamb of God,United States,"Metalcore,Groove",1999,1
Neurosis,United States,"Progressive,Tribal,Punk,Ambient,Sludge,Hardcore",1985,1
Moonspell,Portugal,"Gothic,Black",1992,1
Omni Mortuus,United States,"Gothic,Black",2001,3
Haggard,Germany,"Symphonic,Orchestral,Death,Classical,Progressive",1989,1
Dragonlord,United States,"Thrash,Symphonic,Black",2000,1
Solstice of Suffering,United States,"Death,Black",1998,3
Zyklon,Norway,"Death,Industrial,Black",1998,3
Mayhem,Norway,Black,1984,1
Morbid Angel,United States,Death,1983,1
Dimmu Borgir,Norway,"Symphonic,Black",1993,1
Testament,United States,Thrash,1986,1
Down,United States,Southern,1991,1
Slayer,United States,Thrash,1981,1
Burnt by the Sun,United States,"Metalcore,Grindcore",1999,3
Falconer,Sweden,"Power,Folk",1999,1
